id,strand,fiveseen,polyAseen,threeseen,fiveend,polyAend,threeend,primer,chimera
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/13/31_1223_CCS,+,1,1,1,31,1223,1244,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/68/878_57_CCS,-,1,1,1,30,851,879,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/93/35_1575_CCS,+,1,1,1,35,1575,1600,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/103/1851_53_CCS,-,1,1,1,27,1825,1849,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/111/1515_58_CCS,-,1,1,1,30,1487,1516,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/112/1336_58_CCS,-,1,1,1,31,1309,1338,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/117/751_51_CCS,-,1,1,1,31,731,753,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/124/1050_57_CCS,-,1,1,1,31,1024,1052,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/134/2539_91_CCS,-,1,1,1,27,2475,2536,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/137/43_1742_CCS,+,1,1,1,43,1742,1768,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/147/196_55_CCS,-,1,1,1,31,172,198,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/155/30_1500_CCS,+,1,1,1,30,1500,1527,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/162/1377_107_CCS,-,1,1,1,30,1300,1378,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/165/2259_76_CCS,-,1,1,1,33,2216,2261,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/168/31_1797_CCS,+,1,1,1,31,1797,1822,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/189/31_897_CCS,+,1,1,1,31,897,927,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/199/31_1287_CCS,+,1,1,1,31,1287,1314,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/200/2245_56_CCS,-,1,1,1,32,2221,2248,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/212/2609_53_CCS,-,1,1,1,30,2586,2610,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/215/32_1668_CCS,+,1,1,1,32,1668,1696,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/218/31_862_CCS,+,1,1,1,31,862,888,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/248/797_74_CCS,-,1,1,1,30,753,798,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/259/2581_84_CCS,-,1,1,1,31,2528,2583,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/275/2654_59_CCS,-,1,1,1,31,2626,2656,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/276/31_1148_CCS,+,1,1,1,31,1148,1176,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/306/1561_54_CCS,-,1,1,1,31,1538,1563,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/326/31_737_CCS,+,1,1,1,31,737,769,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/328/1113_60_CCS,-,1,1,1,31,1084,1115,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/335/31_591_CCS,+,1,1,1,31,591,617,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/339/1511_85_CCS,-,1,1,1,31,1457,1513,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/343/680_158_CCS,-,1,1,1,31,553,682,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/357/31_1800_CCS,+,1,1,1,31,1800,1842,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/366/2156_76_CCS,-,1,1,1,32,2112,2143,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/370/1098_53_CCS,-,1,1,1,31,1076,1102,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/371/894_61_CCS,-,1,1,1,31,864,896,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/400/34_603_CCS,+,1,1,1,34,603,632,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/401/30_869_CCS,+,1,1,1,30,869,895,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/408/2647_59_CCS,-,1,1,1,31,2619,2649,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/416/1614_56_CCS,-,1,1,1,31,1589,1616,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/420/31_1785_CCS,+,1,1,1,31,1785,1815,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/427/31_434_CCS,+,1,1,1,31,434,460,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/428/2067_57_CCS,-,1,1,1,31,2041,2069,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/430/30_1094_CCS,+,1,1,1,30,1094,1119,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/437/1728_55_CCS,-,1,1,1,27,1700,1726,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/440/30_533_CCS,+,1,1,1,30,533,565,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/441/838_57_CCS,-,1,1,1,30,811,838,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/445/1095_58_CCS,-,1,1,1,30,1067,1096,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/468/31_2031_CCS,+,1,1,1,31,2031,2065,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/476/1136_54_CCS,-,1,1,1,31,1113,1138,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/482/30_726_CCS,+,1,1,1,30,726,755,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/498/31_962_CCS,+,1,1,1,31,962,993,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/512/31_1508_CCS,+,1,1,1,31,1508,1552,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/524/31_520_CCS,+,1,1,1,31,520,550,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/543/879_76_CCS,-,1,1,1,31,834,881,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/564/1562_56_CCS,-,1,1,1,31,1537,1564,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/567/1869_57_CCS,-,1,1,1,30,1842,1870,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/568/30_765_CCS,+,1,1,1,30,765,839,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/581/1393_60_CCS,-,1,1,1,31,1364,1395,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/593/28_1466_CCS,+,1,1,1,28,1466,1495,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/598/1201_171_CCS,-,1,1,1,31,1061,1203,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/621/1091_57_CCS,-,1,1,1,29,1063,1091,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/623/1354_59_CCS,-,1,1,1,31,1326,1356,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/662/1947_56_CCS,-,1,1,1,31,1922,1949,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/666/31_2566_CCS,+,1,1,1,31,2566,2604,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/678/2356_59_CCS,-,1,1,1,42,2339,2366,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/681/2624_55_CCS,-,1,1,1,30,2599,2625,1,0
m150801_154235_42161_c100752771910000001823158607081563_s1_p0/687/40_3881_CCS,+,1,1,1,40,3881,3909,1,1
